rank,name,price,1h_change,24h_change,7d_change,market_cap,volume_24h,circulating_supply,page
153,Merlin ChainMERL,$0.2047,0.65%,16.57%,19.08%,"$222.91M$222,910,114","$60,052,599292.85M",1.08B MERL,2
154,Convex FinanceCVX,$2.22,0.70%,5.04%,12.15%,"$221.1M$221,100,691","$14,502,0256.50M",99.25M CVX,2
155,1inch1INCH,$0.1577,0.10%,2.31%,0.94%,"$220.85M$220,852,306","$10,799,77768.39M",1.39B 1INCH,2
156,OriginTrailTRAC,$0.4424,0.70%,4.60%,5.69%,"$221.22M$221,224,538","$6,850,90315.51M",499.99M TRAC,2
157,币安人生币安人生,$0.2213,2.35%,3.74%,33.37%,"$221.34M$221,339,364","$44,213,258200.99M",1B 币安人生,2
158,DeepBook ProtocolDEEP,$0.04690,0.56%,4.08%,14.07%,"$217.79M$217,794,759","$13,007,200276.72M",4.64B DEEP,2
159,EigenCloudEIGEN,$0.4002,0.24%,2.87%,3.09%,"$217.48M$217,482,011","$24,702,34561.74M",543.33M EIGEN,2
160,HorizenZEN,$12.04,0.28%,1.78%,38.62%,"$213.5M$213,496,630","$82,114,7846.79M",17.71M ZEN,2
161,VaultaA,$0.1262,0.06%,1.77%,28.78%,"$204.22M$204,223,346","$46,146,313365.29M",1.61B A,2
162,BUILDonB,$0.2034,1.62%,7.11%,9.48%,"$203.48M$203,481,208","$6,665,70632.78M",1B B,2
163,Falcon FinanceFF,$0.08575,0.01%,2.64%,3.78%,"$200.67M$200,669,339","$101,916,3271.18B",2.34B FF,2
164,KaminoKMNO,$0.05368,0.06%,6.26%,6.18%,"$199.92M$199,924,139","$6,337,415117.92M",3.72B KMNO,2
165,MultiversXEGLD,$6.62,0.65%,2.11%,4.66%,"$192.92M$192,917,620","$66,967,58810.05M",29.13M EGLD,2
166,WormholeW,$0.03628,0.54%,0.80%,2.18%,"$190.59M$190,590,386","$13,617,836375.25M",5.25B W,2
167,MX TokenMX,$2.02,0.21%,0.34%,2.51%,"$185.92M$185,917,251","$8,026,3773.96M",91.83M MX,2
168,AmpAMP,$0.002205,0.31%,0.35%,3.14%,"$185.9M$185,901,679","$6,886,7893.12B",84.28B AMP,2
169,0G0G,$0.8719,0.10%,1.99%,1.98%,"$185.93M$185,932,741","$20,205,50523.19M",213.24M 0G,2
170,SafePalSFP,$0.3705,0.51%,0.91%,3.35%,"$185.25M$185,250,095","$2,578,9286.95M",500M SFP,2
